"seqnames" "start" "end" "width" "strand" "score" "id"
"116" "CP014314.1" 1967473 1967622 150 "+" 500 "CP014314.1-730250/1-1"
"117" "CP014314.1" 3247891 3248040 150 "-" 500 "CP014314.1-730248/1-1"
"118" "CP014314.1" 1356834 1356983 150 "-" 500 "CP014314.1-730246/1-1"
"119" "CP014314.1" 1938661 1938810 150 "+" 500 "CP014314.1-730244/1-1"
"120" "CP014314.1" 1510218 1510367 150 "+" 500 "CP014314.1-730242/1-1"
"121" "CP014314.1" 3931520 3931669 150 "-" 500 "CP014314.1-730240/1-1"
"122" "CP014314.1" 2875827 2875927 101 "+" 500 "CP014314.1-730238/1-1"
"123" "CP014314.1" 1979740 1979889 150 "+" 500 "CP014314.1-730236/1-1"
"124" "CP014314.1" 1856500 1856649 150 "+" 500 "CP014314.1-730234/1-1"
"125" "CP014314.1" 5300835 5300949 115 "-" 500 "CP014314.1-730232/1-1"
"126" "CP014314.1" 3910516 3910665 150 "+" 500 "CP014314.1-730230/1-1"
"127" "CP014314.1" 2441515 2441664 150 "-" 500 "CP014314.1-730228/1-1"
"128" "CP014314.1" 2153872 2154021 150 "+" 500 "CP014314.1-730226/1-1"
"129" "CP014314.1" 1857363 1857512 150 "-" 500 "CP014314.1-730224/1-1"
"130" "CP014314.1" 1301358 1301507 150 "+" 500 "CP014314.1-730222/1-1"
"131" "CP014314.1" 306402 306551 150 "+" 500 "CP014314.1-730220/1-1"
"132" "CP014314.1" 1542735 1542884 150 "+" 500 "CP014314.1-730218/1-1"
"133" "CP014314.1" 5260644 5260793 150 "+" 500 "CP014314.1-730216/1-1"
"134" "CP014314.1" 3087193 3087342 150 "-" 500 "CP014314.1-730214/1-1"
"135" "CP014314.1" 100490 100639 150 "-" 500 "CP014314.1-730212/1-1"
"136" "CP014314.1" 4921818 4921967 150 "-" 500 "CP014314.1-730210/1-1"
"137" "CP014314.1" 35125 35274 150 "+" 500 "CP014314.1-730208/1-1"
"138" "CP014314.1" 2660340 2660446 107 "+" 500 "CP014314.1-730206/1-1"
"139" "CP014314.1" 3483327 3483476 150 "+" 500 "CP014314.1-730204/1-1"
"140" "CP014314.1" 4240297 4240446 150 "-" 500 "CP014314.1-730202/1-1"
"141" "CP014314.1" 1255369 1255518 150 "-" 500 "CP014314.1-730200/1-1"
"142" "CP014314.1" 1913857 1914006 150 "-" 500 "CP014314.1-730198/1-1"
"143" "CP014314.1" 2744959 2745108 150 "+" 500 "CP014314.1-730196/1-1"
"144" "CP014314.1" 5303915 5304064 150 "+" 500 "CP014314.1-730194/1-1"
"145" "CP014314.1" 4766635 4766784 150 "-" 500 "CP014314.1-730192/1-1"
"146" "CP014314.1" 1613770 1613919 150 "-" 500 "CP014314.1-730190/1-1"
"147" "CP014314.1" 5272508 5272657 150 "-" 500 "CP014314.1-730188/1-1"
"148" "CP014314.1" 162533 162682 150 "-" 500 "CP014314.1-730186/1-1"
"149" "CP014314.1" 1395032 1395181 150 "+" 500 "CP014314.1-730184/1-1"
"150" "CP014314.1" 1061828 1061977 150 "+" 500 "CP014314.1-730182/1-1"
"151" "CP014314.1" 2694963 2695112 150 "-" 500 "CP014314.1-730180/1-1"
"152" "CP014314.1" 5121975 5122124 150 "+" 500 "CP014314.1-730178/1-1"
"153" "CP014314.1" 2214773 2214922 150 "-" 500 "CP014314.1-730176/1-1"
"154" "CP014314.1" 3241834 3241983 150 "+" 500 "CP014314.1-730174/1-1"
"155" "CP014314.1" 3587630 3587779 150 "-" 500 "CP014314.1-730172/1-1"
"156" "CP014314.1" 3486048 3486197 150 "-" 500 "CP014314.1-730170/1-1"
"157" "CP014314.1" 2402249 2402398 150 "+" 500 "CP014314.1-730168/1-1"
"158" "CP014314.1" 5099232 5099381 150 "+" 500 "CP014314.1-730166/1-1"
"159" "CP014314.1" 4706870 4707015 146 "-" 500 "CP014314.1-730164/1-1"
"160" "CP014314.1" 4810976 4811125 150 "-" 500 "CP014314.1-730162/1-1"
"161" "CP014314.1" 3378411 3378560 150 "+" 500 "CP014314.1-730160/1-1"
"162" "CP014314.1" 630250 630399 150 "-" 500 "CP014314.1-730158/1-1"
"163" "CP014314.1" 4480734 4480883 150 "-" 500 "CP014314.1-730156/1-1"
"164" "CP014314.1" 1476181 1476330 150 "-" 500 "CP014314.1-730154/1-1"
"165" "CP014314.1" 2831186 2831335 150 "-" 500 "CP014314.1-730152/1-1"
"166" "CP014314.1" 4579310 4579459 150 "+" 500 "CP014314.1-730150/1-1"
"167" "CP014314.1" 4537183 4537332 150 "-" 500 "CP014314.1-730148/1-1"
"168" "CP014314.1" 1951048 1951197 150 "-" 500 "CP014314.1-730146/1-1"
"169" "CP014314.1" 2613663 2613812 150 "+" 500 "CP014314.1-730144/1-1"
"170" "CP014314.1" 870954 871103 150 "+" 500 "CP014314.1-730142/1-1"
"171" "CP014314.1" 5428016 5428165 150 "+" 500 "CP014314.1-730140/1-1"
"172" "CP014314.1" 2791359 2791508 150 "-" 500 "CP014314.1-730138/1-1"
"173" "CP014314.1" 3767359 3767508 150 "+" 500 "CP014314.1-730136/1-1"
"174" "CP014314.1" 3940772 3940921 150 "+" 500 "CP014314.1-730134/1-1"
"175" "CP014314.1" 1827818 1827967 150 "-" 500 "CP014314.1-730132/1-1"
"176" "CP014314.1" 5116783 5116932 150 "-" 500 "CP014314.1-730130/1-1"
"177" "CP014314.1" 2300850 2300999 150 "-" 500 "CP014314.1-730128/1-1"
"178" "CP014314.1" 503333 503482 150 "+" 500 "CP014314.1-730126/1-1"
"179" "CP014314.1" 3247352 3247501 150 "-" 500 "CP014314.1-730124/1-1"
"180" "CP014314.1" 508267 508416 150 "-" 500 "CP014314.1-730122/1-1"
"181" "CP014314.1" 5423265 5423414 150 "-" 500 "CP014314.1-730120/1-1"
"182" "CP014314.1" 3446648 3446797 150 "+" 500 "CP014314.1-730118/1-1"
"183" "CP014314.1" 3571342 3571491 150 "-" 500 "CP014314.1-730116/1-1"
"184" "CP014314.1" 2439705 2439854 150 "+" 500 "CP014314.1-730114/1-1"
"185" "CP014314.1" 383946 384095 150 "-" 500 "CP014314.1-730112/1-1"
"186" "CP014314.1" 469442 469591 150 "+" 500 "CP014314.1-730110/1-1"
"187" "CP014314.1" 4347871 4348020 150 "+" 500 "CP014314.1-730108/1-1"
"188" "CP014314.1" 109596 109745 150 "+" 500 "CP014314.1-730106/1-1"
"189" "CP014314.1" 4556176 4556325 150 "+" 500 "CP014314.1-730104/1-1"
"190" "CP014314.1" 3472421 3472561 141 "-" 500 "CP014314.1-730102/1-1"
"191" "CP014314.1" 3199106 3199255 150 "-" 500 "CP014314.1-730100/1-1"
"192" "CP014314.1" 3618704 3618853 150 "+" 500 "CP014314.1-730098/1-1"
"193" "CP014314.1" 5460481 5460630 150 "-" 500 "CP014314.1-730096/1-1"
"194" "CP014314.1" 3548005 3548154 150 "+" 500 "CP014314.1-730094/1-1"
"195" "CP014314.1" 1703960 1704109 150 "-" 500 "CP014314.1-730092/1-1"
"196" "CP014314.1" 5097436 5097585 150 "-" 500 "CP014314.1-730090/1-1"
"197" "CP014314.1" 2335572 2335721 150 "+" 500 "CP014314.1-730088/1-1"
"198" "CP014314.1" 3526650 3526799 150 "-" 500 "CP014314.1-730086/1-1"
"199" "CP014314.1" 3216217 3216364 148 "+" 500 "CP014314.1-730084/1-1"
"200" "CP014314.1" 226472 226621 150 "+" 500 "CP014314.1-730082/1-1"
"201" "CP014314.1" 332631 332780 150 "-" 500 "CP014314.1-730080/1-1"
"202" "CP014314.1" 4707469 4707544 76 "-" 500 "CP014314.1-730078/1-1"
"203" "CP014314.1" 4215991 4216081 91 "-" 500 "CP014314.1-730076/1-1"
"204" "CP014314.1" 2407302 2407451 150 "+" 500 "CP014314.1-730074/1-1"
"205" "CP014314.1" 4903200 4903349 150 "-" 500 "CP014314.1-730072/1-1"
"206" "CP014314.1" 4921944 4922093 150 "-" 500 "CP014314.1-730070/1-1"
"207" "CP014314.1" 1213210 1213359 150 "-" 500 "CP014314.1-730068/1-1"
"208" "CP014314.1" 3333543 3333692 150 "+" 500 "CP014314.1-730066/1-1"
"209" "CP014314.1" 2042811 2042953 143 "-" 500 "CP014314.1-730064/1-1"
"210" "CP014314.1" 4764814 4764937 124 "-" 500 "CP014314.1-730062/1-1"
"211" "CP014314.1" 1299907 1300056 150 "+" 500 "CP014314.1-730060/1-1"
"212" "CP014314.1" 2588374 2588515 142 "-" 500 "CP014314.1-730058/1-1"
"213" "CP014314.1" 1091304 1091453 150 "+" 500 "CP014314.1-730056/1-1"
"214" "CP014314.1" 2825892 2826041 150 "-" 500 "CP014314.1-730054/1-1"
"215" "CP014314.1" 515538 515687 150 "-" 500 "CP014314.1-730052/1-1"
"216" "CP014314.1" 310907 311056 150 "+" 500 "CP014314.1-730050/1-1"
"217" "CP014314.1" 5369584 5369733 150 "+" 500 "CP014314.1-730048/1-1"
"218" "CP014314.1" 34736 34850 115 "+" 500 "CP014314.1-730046/1-1"
"219" "CP014314.1" 931115 931264 150 "+" 500 "CP014314.1-730044/1-1"
"220" "CP014314.1" 766717 766866 150 "-" 500 "CP014314.1-730042/1-1"
"221" "CP014314.1" 1882720 1882869 150 "-" 500 "CP014314.1-730040/1-1"
"222" "CP014314.1" 4765773 4765922 150 "-" 500 "CP014314.1-730038/1-1"
"223" "CP014314.1" 3008046 3008195 150 "-" 500 "CP014314.1-730036/1-1"
"224" "CP014314.1" 1218181 1218330 150 "-" 500 "CP014314.1-730034/1-1"
"225" "CP014314.1" 4302284 4302433 150 "-" 500 "CP014314.1-730032/1-1"
"226" "CP014314.1" 2600511 2600634 124 "+" 500 "CP014314.1-730030/1-1"
"227" "CP014314.1" 1378056 1378205 150 "-" 500 "CP014314.1-730028/1-1"
"228" "CP014314.1" 1953905 1954054 150 "-" 500 "CP014314.1-730026/1-1"
"229" "CP014314.1" 185461 185610 150 "-" 500 "CP014314.1-730024/1-1"
"230" "CP014314.1" 2177992 2178137 146 "-" 500 "CP014314.1-730022/1-1"
"231" "CP014314.1" 1954458 1954607 150 "-" 500 "CP014314.1-730020/1-1"
"232" "CP014314.1" 3194717 3194866 150 "+" 500 "CP014314.1-730018/1-1"
"233" "CP014314.1" 1926627 1926776 150 "+" 500 "CP014314.1-730016/1-1"
"234" "CP014314.1" 1372889 1373038 150 "+" 500 "CP014314.1-730014/1-1"
"235" "CP014314.1" 4292681 4292830 150 "+" 500 "CP014314.1-730012/1-1"
"236" "CP014314.1" 627697 627846 150 "+" 500 "CP014314.1-730010/1-1"
"237" "CP014314.1" 1955497 1955646 150 "-" 500 "CP014314.1-730008/1-1"
"238" "CP014314.1" 4603690 4603839 150 "-" 500 "CP014314.1-730006/1-1"
"239" "CP014314.1" 3763208 3763357 150 "-" 500 "CP014314.1-730004/1-1"
"240" "CP014314.1" 3312285 3312434 150 "+" 500 "CP014314.1-730002/1-1"
"241" "CP014314.1" 2505247 2505396 150 "-" 500 "CP014314.1-730000/1-1"
"242" "CP014314.1" 3587586 3587735 150 "+" 500 "CP014314.1-729998/1-1"
"243" "CP014314.1" 3888519 3888668 150 "+" 500 "CP014314.1-729996/1-1"
"244" "CP014314.1" 2106338 2106487 150 "-" 500 "CP014314.1-729994/1-1"
"245" "CP014314.1" 3203647 3203796 150 "-" 500 "CP014314.1-729992/1-1"
"246" "CP014314.1" 318037 318136 100 "+" 500 "CP014314.1-729990/1-1"
"247" "CP014314.1" 2776265 2776414 150 "+" 500 "CP014314.1-729988/1-1"
"248" "CP014314.1" 4776922 4777071 150 "+" 500 "CP014314.1-729986/1-1"
"249" "CP014314.1" 1344692 1344841 150 "+" 500 "CP014314.1-729984/1-1"
"250" "CP014314.1" 5263278 5263427 150 "+" 500 "CP014314.1-729982/1-1"
"251" "CP014314.1" 1994890 1995039 150 "+" 500 "CP014314.1-729980/1-1"
"252" "CP014314.1" 4288509 4288658 150 "+" 500 "CP014314.1-729978/1-1"
"253" "CP014314.1" 4843946 4844095 150 "-" 500 "CP014314.1-729976/1-1"
"254" "CP014314.1" 5304058 5304207 150 "+" 500 "CP014314.1-729974/1-1"
"255" "CP014314.1" 727106 727255 150 "+" 500 "CP014314.1-729972/1-1"
"256" "CP014314.1" 5193637 5193786 150 "-" 500 "CP014314.1-729970/1-1"
"257" "CP014314.1" 4405810 4405959 150 "+" 500 "CP014314.1-729968/1-1"
"258" "CP014314.1" 1410101 1410250 150 "+" 500 "CP014314.1-729966/1-1"
"259" "CP014314.1" 3500777 3500926 150 "-" 500 "CP014314.1-729964/1-1"
"260" "CP014314.1" 2086037 2086186 150 "-" 500 "CP014314.1-729962/1-1"
"261" "CP014314.1" 4191535 4191676 142 "-" 500 "CP014314.1-729960/1-1"
"262" "CP014314.1" 2851434 2851583 150 "+" 500 "CP014314.1-729958/1-1"
"263" "CP014314.1" 5185412 5185561 150 "-" 500 "CP014314.1-729956/1-1"
"264" "CP014314.1" 5189206 5189355 150 "-" 500 "CP014314.1-729954/1-1"
"265" "CP014314.1" 775983 776132 150 "-" 500 "CP014314.1-729952/1-1"
"266" "CP014314.1" 3582271 3582420 150 "+" 500 "CP014314.1-729950/1-1"
"267" "CP014314.1" 589565 589714 150 "+" 500 "CP014314.1-729948/1-1"
"268" "CP014314.1" 219769 219918 150 "+" 500 "CP014314.1-729946/1-1"
"269" "CP014314.1" 2676885 2677034 150 "-" 500 "CP014314.1-729944/1-1"
"270" "CP014314.1" 4194304 4194453 150 "+" 500 "CP014314.1-729942/1-1"
"271" "CP014314.1" 1273936 1274085 150 "+" 500 "CP014314.1-729940/1-1"
"272" "CP014314.1" 733211 733360 150 "-" 500 "CP014314.1-729938/1-1"
"273" "CP014314.1" 5318907 5319056 150 "+" 500 "CP014314.1-729936/1-1"
"274" "CP014314.1" 4347010 4347159 150 "+" 500 "CP014314.1-729934/1-1"
"275" "CP014314.1" 288413 288562 150 "-" 500 "CP014314.1-729932/1-1"
"276" "CP014314.1" 4891727 4891876 150 "-" 500 "CP014314.1-729930/1-1"
"277" "CP014314.1" 4336194 4336343 150 "+" 500 "CP014314.1-729928/1-1"
"278" "CP014314.1" 5291567 5291716 150 "-" 500 "CP014314.1-729926/1-1"
"279" "CP014314.1" 4854497 4854646 150 "+" 500 "CP014314.1-729924/1-1"
"280" "CP014314.1" 2967566 2967715 150 "-" 500 "CP014314.1-729922/1-1"
"281" "CP014314.1" 354982 355131 150 "+" 500 "CP014314.1-729920/1-1"
"282" "CP014314.1" 4357553 4357702 150 "-" 500 "CP014314.1-729918/1-1"
"283" "CP014314.1" 792183 792332 150 "+" 500 "CP014314.1-729916/1-1"
"284" "CP014314.1" 517665 517814 150 "-" 500 "CP014314.1-729914/1-1"
"285" "CP014314.1" 3499305 3499454 150 "-" 500 "CP014314.1-729912/1-1"
"286" "CP014314.1" 3194497 3194646 150 "-" 500 "CP014314.1-729910/1-1"
"287" "CP014314.1" 1832235 1832384 150 "-" 500 "CP014314.1-729908/1-1"
"288" "CP014314.1" 3056048 3056197 150 "-" 500 "CP014314.1-729906/1-1"
"289" "CP014314.1" 4356765 4356914 150 "-" 500 "CP014314.1-729904/1-1"
"290" "CP014314.1" 5096990 5097139 150 "+" 500 "CP014314.1-729902/1-1"
"291" "CP014314.1" 4097941 4098090 150 "+" 500 "CP014314.1-729900/1-1"
"292" "CP014314.1" 3810672 3810821 150 "+" 500 "CP014314.1-729898/1-1"
"293" "CP014314.1" 327969 328118 150 "+" 500 "CP014314.1-729896/1-1"
"294" "CP014314.1" 1702519 1702668 150 "-" 500 "CP014314.1-729894/1-1"
"295" "CP014314.1" 1354835 1354984 150 "-" 500 "CP014314.1-729892/1-1"
"296" "CP014314.1" 5025397 5025546 150 "+" 500 "CP014314.1-729890/1-1"
"297" "CP014314.1" 1577824 1577973 150 "-" 500 "CP014314.1-729888/1-1"
"298" "CP014314.1" 4880743 4880892 150 "-" 500 "CP014314.1-729886/1-1"
"299" "CP014314.1" 777627 777776 150 "-" 500 "CP014314.1-729884/1-1"
"300" "CP014314.1" 3572943 3573092 150 "+" 500 "CP014314.1-729882/1-1"
"301" "CP014314.1" 2948532 2948681 150 "-" 500 "CP014314.1-729880/1-1"
"302" "CP014314.1" 4747261 4747368 108 "-" 500 "CP014314.1-729878/1-1"
"303" "CP014314.1" 381548 381697 150 "-" 500 "CP014314.1-729876/1-1"
"304" "CP014314.1" 4975040 4975189 150 "+" 500 "CP014314.1-729874/1-1"
"305" "CP014314.1" 2669249 2669398 150 "-" 500 "CP014314.1-729872/1-1"
"306" "CP014314.1" 3094007 3094156 150 "-" 500 "CP014314.1-729870/1-1"
"307" "CP014314.1" 3546737 3546886 150 "+" 500 "CP014314.1-729868/1-1"
"308" "CP014314.1" 5199640 5199789 150 "-" 500 "CP014314.1-729866/1-1"
"309" "CP014314.1" 4197390 4197539 150 "+" 500 "CP014314.1-729864/1-1"
"310" "CP014314.1" 2855452 2855601 150 "+" 500 "CP014314.1-729862/1-1"
"311" "CP014314.1" 1178935 1179084 150 "+" 500 "CP014314.1-729860/1-1"
"312" "CP014314.1" 3050441 3050590 150 "-" 500 "CP014314.1-729858/1-1"
"313" "CP014314.1" 4465045 4465194 150 "-" 500 "CP014314.1-729856/1-1"
"314" "CP014314.1" 999262 999411 150 "-" 500 "CP014314.1-729854/1-1"
"315" "CP014314.1" 2545151 2545300 150 "-" 500 "CP014314.1-729852/1-1"
"316" "CP014314.1" 1665664 1665813 150 "-" 500 "CP014314.1-729850/1-1"
"317" "CP014314.1" 4852334 4852483 150 "-" 500 "CP014314.1-729848/1-1"
"318" "CP014314.1" 3436814 3436963 150 "-" 500 "CP014314.1-729846/1-1"
"319" "CP014314.1" 4999589 4999738 150 "+" 500 "CP014314.1-729844/1-1"
